iter	Passed	Remaining
0	1	162
1	2	142
2	3	128
3	4	117
4	6	117
5	7	116
6	8	114
7	9	111
8	10	110
9	12	108
10	13	108
11	14	108
12	16	107
13	17	106
14	19	109
15	20	107
16	21	105
17	22	103
18	24	102
19	25	101
20	26	99
21	27	97
22	28	96
23	30	95
24	31	93
25	32	92
26	33	90
27	34	89
28	35	88
29	37	86
30	38	85
31	39	83
32	40	82
33	41	81
34	43	79
35	44	79
36	45	78
37	47	77
38	49	76
39	50	75
40	51	74
41	52	71
42	53	70
43	54	69
44	55	67
45	56	66
46	58	65
47	59	64
48	60	63
49	61	61
50	62	60
51	64	59
52	65	57
53	66	56
54	67	55
55	68	53
56	69	52
57	70	51
58	71	49
59	73	48
60	74	47
61	76	46
62	77	45
63	79	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	38
69	86	36
70	87	35
71	89	34
72	90	33
73	91	32
74	92	30
75	93	29
76	94	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	101	20
83	103	19
84	104	18
85	105	17
86	107	16
87	108	14
88	109	13
89	110	12
90	112	11
91	113	9
92	114	8
93	115	7
94	117	6
95	118	4
96	119	3
97	121	2
98	122	1
99	123	0
