iter	Passed	Remaining
0	147	147617
1	149	74549
2	150	50128
3	152	37929
4	153	30635
5	155	25744
6	157	22350
7	159	19756
8	161	17729
9	162	16094
10	164	14758
11	165	13635
12	167	12681
13	168	11873
14	170	11176
15	172	10634
16	174	10095
17	176	9604
18	177	9165
19	178	8770
20	180	8410
21	181	8082
22	183	7797
23	186	7574
24	188	7341
25	189	7110
26	191	6896
27	192	6699
28	194	6507
29	195	6328
30	197	6168
31	198	6017
32	210	6177
33	212	6023
34	213	5881
35	214	5750
36	217	5650
37	218	5537
38	220	5424
39	221	5315
40	222	5213
41	224	5116
42	225	5025
43	227	4935
44	228	4850
45	230	4788
46	232	4713
47	233	4635
48	235	4566
49	236	4497
50	238	4439
51	240	4381
52	241	4318
53	244	4285
54	246	4236
55	248	4182
56	249	4133
57	251	4079
58	252	4032
59	254	3992
60	256	3949
61	258	3904
62	260	3871
63	261	3829
64	263	3787
65	264	3743
66	265	3703
67	267	3666
68	269	3632
69	270	3596
70	272	3560
71	274	3536
72	275	3504
73	277	3470
74	278	3437
75	280	3407
76	281	3377
77	283	3346
78	284	3317
79	285	3287
80	287	3257
81	289	3237
82	290	3204
83	291	3178
84	292	3153
85	294	3126
86	295	3101
87	297	3080
88	298	3057
89	300	3034
90	301	3010
91	303	2999
92	305	2980
93	307	2959
94	308	2938
95	309	2917
96	311	2897
97	312	2876
98	313	2857
99	315	2838
100	317	2822
101	318	2808
102	320	2792
103	322	2775
104	323	2757
105	324	2739
106	326	2723
107	327	2706
108	328	2689
109	330	2673
110	332	2665
111	334	2655
112	336	2640
113	337	2626
114	339	2612
115	340	2597
116	341	2580
117	343	2567
118	344	2553
119	347	2545
120	349	2540
121	351	2526
122	352	2512
123	353	2499
124	355	2487
125	356	2474
126	357	2459
127	359	2446
128	360	2434
129	362	2427
130	364	2418
131	366	2407
132	367	2396
133	369	2384
134	370	2374
135	372	2363
136	373	2353
137	375	2343
138	377	2341
139	379	2330
140	380	2320
141	381	2306
142	382	2295
143	384	2284
144	385	2274
145	386	2263
146	388	2253
147	389	2243
148	391	2238
149	393	2231
150	395	2222
151	396	2212
152	397	2202
153	399	2192
154	400	2183
155	401	2173
156	403	2165
157	404	2155
158	406	2150
159	408	2143
160	409	2132
161	410	2123
162	411	2115
163	413	2106
164	414	2097
165	415	2089
166	417	2081
167	418	2073
168	420	2066
169	422	2061
170	423	2053
171	425	2046
172	426	2038
173	427	2031
174	429	2023
175	430	2016
176	432	2009
177	433	2001
178	435	1997
179	437	1993
180	439	1987
181	440	1980
182	441	1972
183	443	1965
184	444	1958
185	446	1952
186	447	1947
187	449	1942
188	451	1937
189	453	1933
190	455	1928
191	457	1923
192	458	1917
193	460	1911
194	461	1906
195	463	1901
196	466	1901
197	468	1895
198	469	1889
199	470	1883
200	472	1877
201	473	1872
202	475	1867
203	477	1862
204	479	1859
205	482	1857
206	483	1852
207	485	1847
208	486	1841
209	488	1836
210	489	1831
211	491	1825
212	492	1820
213	494	1816
214	496	1813
215	498	1808
216	499	1803
217	501	1797
218	502	1792
219	503	1786
220	505	1782
221	507	1777
222	508	1771
223	510	1768
224	511	1763
225	513	1758
226	515	1754
227	517	1750
228	518	1746
229	520	1743
230	522	1738
231	524	1735
232	526	1733
233	528	1729
234	529	1724
235	531	1719
236	532	1714
237	534	1709
238	535	1705
239	537	1700
240	539	1698
241	541	1696
242	542	1691
243	544	1686
244	545	1681
245	547	1676
246	548	1671
247	549	1666
248	550	1661
249	552	1656
250	553	1652
251	556	1650
252	557	1646
253	559	1643
254	560	1638
255	562	1633
256	563	1629
257	564	1624
